                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2719,                 7.8472,                 4.4609,                  5e-05,                0.01163,                  3e-05,                  1e-05,                 5.1201,                 5.4935,                 4.1592,                0.00018,                0.00018,                0.00018
                      2,                 4.2309,                 5.2394,                 3.9694,                  4e-05,                0.01163,                  3e-05,                  1e-05,                 5.1336,                 5.5256,                 4.1694,             0.00037624,             0.00037624,             0.00037624
                      3,                 3.4116,                 4.1853,                 3.6378,                  4e-05,                0.01163,                  2e-05,                  1e-05,                  5.167,                  5.412,                 4.2005,             0.00056852,             0.00056852,             0.00056852
                      4,                 3.0322,                 3.1474,                 3.2664,                0.00012,                0.01163,                  6e-05,                  1e-05,                 5.2309,                 4.2877,                 4.2705,             0.00075683,             0.00075683,             0.00075683
                      5,                 2.7737,                 2.8579,                 3.0532,                0.00012,                0.01163,                  7e-05,                  2e-05,                 5.3349,                 4.2642,                 4.4103,             0.00094119,             0.00094119,             0.00094119
                      6,                 2.5576,                 2.5146,                 2.8233,                  8e-05,                0.00581,                  5e-05,                      0,                 5.3768,                 4.7688,                 4.4707,              0.0011216,              0.0011216,              0.0011216
                      7,                  2.604,                 2.3281,                 2.7342,                  5e-05,                0.00581,                  2e-05,                  1e-05,                 5.3079,                  5.237,                 4.3629,               0.001298,               0.001298,               0.001298
                      8,                 2.6481,                 2.1837,                 2.6966,                  7e-05,                0.00581,                  4e-05,                  1e-05,                 5.3486,                  4.769,                 4.4534,              0.0014705,              0.0014705,              0.0014705
                      9,                 2.5354,                 1.9271,                 2.5442,                  7e-05,                0.00581,                  4e-05,                  2e-05,                 5.1044,                 5.4825,                 4.1845,               0.001639,               0.001639,               0.001639
                     10,                  2.594,                 1.8872,                 2.6552,                0.00515,                0.41279,                0.00649,                0.00182,                 3.5306,                 3.8729,                   3.49,              0.0018036,              0.0018036,              0.0018036
                     11,                 2.3167,                  1.807,                 2.5617,                0.02774,                0.12791,                0.00885,                0.00288,                 2.7622,                 27.307,                 3.1347,               0.001802,               0.001802,               0.001802
                     12,                 2.3402,                 1.7419,                 2.5335,                0.54489,                 0.4593,                0.48138,                 0.1245,                 2.6824,                 2.1199,                 3.0745,              0.0017822,              0.0017822,              0.0017822
                     13,                  2.203,                 1.6487,                 2.4263,                 0.4133,                0.06395,                 0.0735,                0.03295,                 2.4197,                 4.4756,                 2.8311,              0.0017624,              0.0017624,              0.0017624
                     14,                  2.144,                 1.4646,                 2.3524,                0.44589,                0.01744,                0.02751,                0.00874,                 2.3515,                 5.8004,                 2.8043,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.1485,                 1.5148,                  2.418,                0.63247,                0.73038,                0.71198,                0.27061,                 2.3341,                 1.2713,                 2.6842,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.9686,                 1.4991,                 2.3469,                 0.7589,                0.76744,                0.74399,                0.29615,                 2.1707,                 1.2705,                 2.5141,               0.001703,               0.001703,               0.001703
                     17,                 2.0115,                 1.4149,                 2.2858,                0.80852,                 0.7365,                0.75903,                0.39877,                 1.7521,                 1.1603,                 2.3539,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.8875,                 1.3511,                 2.2135,                0.84624,                0.15698,                0.63367,                0.20402,                 2.4613,                 2.6031,                 2.7322,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.8792,                 1.2287,                 2.2189,                0.65788,                0.15116,                0.45074,                0.16578,                 2.1598,                 3.2218,                 2.6126,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.8209,                 1.2532,                 2.2879,                0.84222,                0.77589,                0.83249,                0.36119,                  2.118,                 1.1137,                 2.5455,              0.0016238,              0.0016238,              0.0016238
                     21,                  1.888,                 1.1598,                 2.1187,                0.82054,                0.75581,                0.81414,                0.42374,                 1.8222,                 2.5594,                 2.4829,               0.001604,               0.001604,               0.001604
                     22,                 2.0018,                 1.2953,                  2.287,                0.87505,                0.80814,                 0.8609,                0.43553,                 1.7793,                 1.3299,                 2.3241,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.8703,                 1.2307,                 2.1643,                0.79282,                0.78488,                0.74777,                0.24703,                 2.2335,                 1.5173,                 2.6474,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.7493,                  1.132,                 2.0701,                0.80456,                0.74197,                0.78388,                0.43871,                 1.5842,                 1.2568,                 2.0796,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.713,                 1.0938,                 2.0209,                0.91116,                0.83484,                0.87219,                0.42271,                 1.7615,                 1.2751,                 2.2474,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.6535,                 1.1156,                 1.9775,                 0.8462,                0.76771,                0.82667,                 0.5262,                  1.372,                 1.1711,                 2.0571,               0.001505,               0.001505,               0.001505
                     27,                 1.5842,                 1.1029,                 1.9681,                0.94724,                0.80233,                0.87389,                0.54958,                  1.356,                 1.0047,                 2.0175,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4999,                 1.0145,                 1.9326,                0.97622,                0.80814,                0.86825,                0.53687,                 1.4022,                 1.0835,                 2.0378,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.6019,                0.99237,                 1.9688,                0.92568,                0.86047,                0.89163,                0.36861,                 1.9622,                 1.1816,                 2.2004,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.7317,                 1.0324,                  1.921,                0.80721,                0.82769,                0.85423,                0.45337,                 1.6258,                 1.2749,                 2.0327,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.5213,                 1.0198,                 1.8365,                0.76078,                0.72109,                  0.781,                0.47505,                 1.3359,                 1.7998,                 1.8807,               0.001406,               0.001406,               0.001406
                     32,                 1.5176,                0.98861,                 1.8314,                0.90782,                 0.8589,                0.86321,                0.42003,                 1.7803,                 1.2502,                 2.1755,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.5339,                 0.9584,                 1.8144,                 0.9274,                0.74273,                 0.8431,                0.54783,                 1.3391,                0.98556,                 1.7733,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.5115,                0.94722,                 1.7886,                0.96822,                0.77326,                0.87644,                0.57539,                 1.3674,                 0.8801,                 1.8039,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.5184,                0.93053,                 1.8031,                0.92952,                0.87209,                 0.8951,                0.44234,                  1.645,                 1.0352,                  2.115,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3681,                0.88601,                 1.6888,                0.97435,                0.87791,                0.89783,                0.46172,                  1.644,                0.88884,                 2.0732,               0.001307,               0.001307,               0.001307
                     37,                 1.3985,                0.94883,                 1.7459,                0.98904,                0.86047,                  0.895,                0.59979,                  1.184,                0.79775,                 1.7644,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3146,                0.89159,                 1.6992,                0.86785,                0.87815,                0.85458,                0.44038,                 1.5424,                 1.1303,                 1.9342,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3578,                0.85087,                 1.6638,                0.96172,                 0.8765,                 0.9091,                0.59175,                  1.295,                0.73372,                 1.8045,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3869,                0.82859,                 1.6685,                0.94901,                0.86566,                0.90607,                0.59511,                 1.2351,                0.78182,                 1.7361,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.377,                0.80323,                 1.6405,                0.98672,                0.86401,                 0.9115,                0.59505,                 1.3109,                0.74661,                 1.7996,               0.001208,               0.001208,               0.001208
                     42,                 1.2519,                0.77535,                  1.614,                0.97437,                0.88415,                0.91162,                0.56763,                 1.3749,                0.74417,                 1.7873,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.376,                0.83608,                 1.6718,                0.94988,                0.86628,                0.90978,                0.64545,                 1.1009,                0.71891,                 1.6342,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.295,                0.80758,                 1.5985,                0.98042,                0.87318,                0.91543,                0.61762,                 1.1844,                0.74203,                 1.6604,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2338,                0.75619,                 1.5911,                0.96259,                0.87209,                0.91513,                0.66499,                 1.0845,                 0.7183,                 1.6448,              0.0011288,              0.0011288,              0.0011288
